"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Framework for Strategic Intelligence Systems Applied to Education Management: A Pilot Study in the Community of Madrid","A. Berges; P. Ramírez; I. Pau; A. Tejero; Á. G. Crespo","Department of Telematics and Electronics, Universidad Politécnica de Madrid at Campus Sur, Madrid, Spain; Department of Telematics and Electronics, Universidad Politécnica de Madrid at Campus Sur, Madrid, Spain; Department of Telematics and Electronics, Universidad Politécnica de Madrid at Campus Sur, Madrid, Spain; Department of Organizational Engineering, Business Administration, and Statistics, E.T.S. de Ingenieros Informáticos, Universidad Politécnica de Madrid, Boadilla del Monte, Spain; Department of Computer Science, Universidad Carlos III de Madrid at Leganés, Leganés, Spain","IEEE Access","25 May 2021","2021","9","","75313","75323","The management of educational policies is a complex issue. There are complexities related to the country's organizational system (competencies delegated by different areas in some cases), and to the limited resources in the educational system. In addition, there are many variables that need to be managed: ICT resources, special educational needs, human resources available, the socioeconomic characteristics of each district, etc. These types of issues are similar to those dealt with by strategic intelligence management. In this field, commonly included within innovation management, methodological frameworks are established that enable collection and consolidation of data from various sources and their subsequent exploitation to enhance decision-making based on previously identified needs. This article presents the details of a pilot plan aimed at implementing a framework for strategic intelligence management in the educational management system of the Community of Madrid (Spain). These intelligence systems are difficult to deploy in educational organizations that have highly fragmented management as in the case described in our pilot plan, although their implementation leads to more correct and agile decision-makings. This paper describes the steps carried out to define the new management platform requirements, its technical implementation issues, and the validation results that demonstrate its functional validity and acceptance by end-users participating in the described pilot project.","2169-3536","","10.1109/ACCESS.2021.3081734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9435357","Education management;strategic intelligence management;data warehouse;OLAP cubes","Organizations;Business intelligence;Standards organizations;Decision making;Knowledge management;Data warehouses;Tools","decision making;educational administrative data processing","strategic intelligence systems applied;ICT resources;human resources;strategic intelligence management;innovation management;educational management system;educational organizations;management platform requirements","","1","","27","CCBY","19 May 2021","","","IEEE","IEEE Journals"
"Optimizing Spatiotemporal Feature Learning in 3D Convolutional Neural Networks With Pooling Blocks","R. Agyeman; M. Rafiq; H. K. Shin; B. Rinner; G. S. Choi","Institute of Networked and Embedded Systems, University of Klagenfurt, Klagenfurt am Wörthersee, Austria; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, South Korea; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, South Korea; Institute of Networked and Embedded Systems, University of Klagenfurt, Klagenfurt am Wörthersee, Austria; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, South Korea","IEEE Access","17 May 2021","2021","9","","70797","70805","Image data contain spatial information only, thus making two-dimensional (2D) Convolutional Neural Networks (CNN) ideal for solving image classification problems. On the other hand, video data contain both spatial and temporal information that must be simultaneously analyzed to solve action recognition problems. 3D CNNs are successfully used for these tasks, but they suffer from their extensive inherent parameter set. Increasing the network’s depth, as is common among 2D CNNs, and hence increasing the number of trainable parameters does not provide a good trade-off between accuracy and complexity of the 3D CNN. In this work, we propose Pooling Block (PB) as an enhanced pooling operation for optimizing action recognition by 3D CNNs. PB comprises three kernels of different sizes. The three kernels simultaneously sub-sample feature maps, and the outputs are concatenated into a single output vector. We compare our approach with three benchmark 3D CNNs (C3D, I3D, and Asymmetric 3D CNN) and three datasets (HMDB51, UCF101, and Kinetics 400). Our PB method yields significant improvement in 3D CNN performance with a comparatively small increase in the number of trainable parameters. We further investigate (1) the effect of video frame dimension and (2) the effect of the number of video frames on the performance of 3D CNNs using C3D as the benchmark.","2169-3536","","10.1109/ACCESS.2021.3078295","Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education(grant numbers:NRF-2019R1A2C1006159); Ministry of Science and ICT (MSIT), South Korea, through the Information Technology Research Center (ITRC) support program supervised by the Institute for Information and communications Technology Promotion (IITP)(grant numbers:IITP-2021-2016-0-00313); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425533","Action recognition;convolutional neural network;optimization","Three-dimensional displays;Kernel;Computer architecture;Feature extraction;Benchmark testing;Optimization;Data mining","convolutional neural nets;image classification;learning (artificial intelligence);optimisation;stereo image processing;vectors;video signal processing","single output vector;Kinetics 400 dataset;UCF101 dataset;HMDB51 dataset;image classification problem solving;pooling blocks;spatiotemporal feature learning optimization;asymmetric 3D CNN;2D CNN;action recognition;temporal information;video data;two-dimensional Convolutional Neural Networks ideal;spatial information;image data;3D convolutional neural networks;C3D CNN;I3D CNN","","2","","46","CCBY","7 May 2021","","","IEEE","IEEE Journals"
"Mutiscale Hybrid Attention Transformer for Remote Sensing Image Pansharpening","W. Zhu; J. Li; Z. An; Z. Hua","School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; School of Information and Electronic Engineering, Shandong Technology and Business University, Yantai, China","IEEE Transactions on Geoscience and Remote Sensing","2 Feb 2023","2023","61","","1","16","Pansharpening methods play a crucial role for remote sensing image processing. The existing pansharpening methods, in general, have the problems of spectral distortion and lack of spatial detail information. To mitigate these problems, we propose a multiscale hybrid attention Transformer pansharpening network (MHATP-Net). In the proposed network, the shallow feature (SF) is first acquired through an SF extraction module (SFEM), which contains the convolutional block attention module (CBAM) and dynamic convolution blocks. The CBAM in this module can filter initial information roughly, and the dynamic convolution blocks can enrich the SF information. Then, the multiscale Transformer module is used to obtain multiencoding feature images. We propose a hybrid attention module (HAM) in the multiscale feature recovery module to effectively address the balance between the spectral feature retention and the spatial feature recovery. In the training process, we use deep semantic statistics matching (D2SM) loss to optimize the output model. We have conducted extensive experiments on several known datasets, and the results show that this article has good performance compared with other state of the art (SOTA) methods.","1558-0644","","10.1109/TGRS.2023.3239013","National Natural Science Foundation of China(grant numbers:61772319,62002200,62202268,62272281); Shandong Natural Science Foundation of China(grant numbers:ZR2021MF068,ZR2021QF134); Shandong Provincial Science and Technology Support Program of Youth Innovation Team in Colleges(grant numbers:2021KJ069,2019KJN042); Yantai Science and Technology Innovation Development Plan(grant numbers:2022JCYJ031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10024857","Convolutional block attention module (CBAM);convolutional neural network (CNN);deep semantic statistics matching (D2SM) loss;hybrid attention mechanism;pansharpening;Transformer","Feature extraction;Transformers;Pansharpening;Computational modeling;Task analysis;Remote sensing;Spatial resolution","convolutional neural nets;deep learning (artificial intelligence);feature extraction;geophysical image processing;remote sensing","CBAM;convolutional block attention module;deep semantic statistics matching;dynamic convolution blocks;HAM;hybrid attention module;MHATP-Net;multiencoding feature images;multiscale feature recovery module;multiscale hybrid attention transformer pansharpening network;remote sensing image pansharpening;shallow feature;shallow feature extraction module;spatial detail information;spectral distortion;training process","","1","","81","IEEE","23 Jan 2023","","","IEEE","IEEE Journals"
"MSACon: Mining Spatial Attention-Based Contextual Information for Road Extraction","Y. Xu; H. Chen; C. Du; J. Li","College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China","IEEE Transactions on Geoscience and Remote Sensing","23 Dec 2021","2022","60","","1","17","With the boost of deep learning methods, road extraction has been widely used in city planning and autonomous driving. However, it is very challenging to extract roads around the thorny occlusion areas, even in high-resolution remote sensing images. Existing approaches regard road extraction as an isolated binary segmentation task and ignore the surroundings’ contextual information in the optical image itself, especially the potential dependence implied between roads and buildings. To address the occlusion problem, we proposed a spatial attention-based road extraction neural network using contextual relation between roads and buildings named MSACon to extract the roads more precisely. First, we employed an existing building extraction method to predict buildings in the optical images. Second, we calculated the signed distance map (SDM) based on the building extraction results (which may be inaccurate) as ambiguous auxiliary information to infer the optical images’ potential roads. Due to the color, lines, and texture between the optical images and the SDM are distinct, we then designed the two-branch encoder to extract features and integrated the cross-domain features into the road decoder by a spatial attention-based fusion mechanism. Experiments demonstrate that the proposed method achieves superior performance than other state-of-the-art approaches even with ambiguous auxiliary information. Furthermore, MSACon shows obvious advantages in finding inconspicuous roads in the optical images and eliminating noisy roads, especially when dealing with areas where buildings are located along the roads.","1558-0644","","10.1109/TGRS.2021.3073923","National Natural Science Foundation of China(grant numbers:61806211,41971362,U19A2058); Natural Science Foundation of Hunan Province China(grant numbers:2020JJ4103); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9419675","Contextual information;road extraction;roads and buildings;signed distance map (SDM);spatial attention mechanism","Roads;Data mining;Buildings;Feature extraction;Optical imaging;Optical sensors;Image segmentation","data mining;deep learning (artificial intelligence);feature extraction;geophysical image processing;image colour analysis;image fusion;image resolution;image segmentation;image texture;optical images;remote sensing;roads","optical image;spatial attention-based road extraction neural network;MSACon;ambiguous auxiliary information;road decoder;spatial attention-based fusion mechanism;mining spatial attention-based contextual information;high-resolution remote sensing images;noisy roads;building extraction;deep learning;isolated binary segmentation;contextual relation;signed distance map;SDM;image color;image lines;image texture;two-branch encoder;feature extraction;cross-domain features","","11","","73","IEEE","29 Apr 2021","","","IEEE","IEEE Journals"
"Customer Order Behavior Classification Via Convolutional Neural Networks in the Semiconductor Industry","M. Ratusny; M. Schiffer; H. Ehm","Supply Chain Innovation, Infineon Technologies AG, Neubiberg, Germany; School of Management and the Munich Data Science Institute, Technical University of Munich, Munich, Germany; Supply Chain Innovation, Infineon Technologies AG, Neubiberg, Germany","IEEE Transactions on Semiconductor Manufacturing","4 Aug 2022","2022","35","3","470","477","In the operational processes of demand planning and order management, it is crucial to understand customer order behavior to provide insights for supply chain management processes. Here, advances in the semiconductor industry have emerged through the extraction of important information from vast amounts of data. This new data and information availability paves the way for the development of improved methods to analyze and classify customer order behavior (COB). To this end, we develop a novel, sophisticated yet intuitive image-based representation for COBs using two-dimensional heat maps. This heat map representation contributes significantly to the development of a novel COB classification framework. In this framework, we utilize data enrichment via synthetical training samples to train a CNN model that performs the classification task. Integrating synthetically generated data into the training phase allows us to strengthen the inclusion of rare pattern variants that we identified during initial analysis. Moreover, we show how this framework is used in practice at Infineon. We finally use actual customer data to benchmark the performance of our framework and show that the baseline CNN approach outperforms all available state-of-the-art benchmark models. Additionally, our results highlight the benefit of synthetic data enrichment.","1558-2345","","10.1109/TSM.2022.3187100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9810194","Image classification;pattern recognition;data processing;learning systems","Heating systems;Electronics industry;Behavioral sciences;Training;Task analysis;Industries;Demand forecasting","customer services;data mining;data visualisation;image classification;image representation;learning (artificial intelligence);neural nets;pattern classification;semiconductor industry;supply chain management","classification via convolutional neural networks;semiconductor industry;operational processes;demand planning;order management;customer order behavior;supply chain management processes;information availability;sophisticated yet intuitive image-based representation;two-dimensional heat maps;heat map representation;novel COB classification framework;synthetical training samples;classification task;actual customer data;synthetic data enrichment","","","","34","IEEE","29 Jun 2022","","","IEEE","IEEE Journals"
"Asset Management Framework and Tools for Facing Challenges in the Adoption of Product-Service Systems","A. Erguido; A. C. Márquez; E. Castellano; A. K. Parlikad; J. Izquierdo","Department of Operations and Maintenance Technologies, Ikerlan Technology Research Centre, Gipuzkoa, Spain; Department of Industrial Management, ETSI University of Seville, Sevilla, Spain; Department of MIK Research Centre, Mondragon University, Gipuzkoa, Spain; Institute for Manufacturing, University of Cambridge, Cambridge, U.K.; Department of Operations and Maintenance Technologies, Ikerlan Technology Research Centre, Gipuzkoa, Spain","IEEE Transactions on Engineering Management","3 Nov 2022","2022","69","6","2693","2706","Servitization is recognized as a key business strategy for original equipment manufacturers willing to move up the value chain. However, several barriers have to be overcome in order to successfully integrate products and services. Many of these barriers are caused by the technical challenges associated with the design and management of the product-service systems (PSSs), such as life cycle service level and cost estimation, risk management, or the system design and pricing. Asset management (AM) presents itself as a key research area in order to overcome these barriers as well as to integrate PSSs within the manufacturers’ operations management. It is the scope of this article to provide theoretical and practical insights with regards to the alignment of AM and PSS research areas. To support the alignment between both areas, a management framework which gathers specific technologies, including reliability analysis, simulation modeling, and multiobjective optimization algorithms, is presented. The purpose of the framework is to provide manufacturers with a decision-support tool that facilitates the main managerial challenges faced when implementing a servitization strategy. The article contributions are successfully applied to case studies in the railway and wind energy sectors based on real field data, thereby demonstrating their suitability for both facilitating manufacturer’s decision-making process and better satisfying stakeholders’ interests.","1558-0040","","10.1109/TEM.2019.2951438","Sustainable Design and Management of Industrial Assets; EU Framework Programme Horizon 2020(grant numbers:MSCA-RISE-2014); Marie Skłodowska-Curie Research and Innovation Staff Exchange(grant numbers:645733—Sustain-Owner — H2020-MSCA-RISE-2014); EmaitekPlus 2018–2019 Program of the Basque Government; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915739","Asset management (AM);management framework;multiobjective optimization;product-service system (PSS);servitization;simulation modeling","Stakeholders;Asset management;Analytical models;Simulation;Optimization","asset management;customer services;decision making;decision support systems;knowledge management;machinery production industries;optimisation;organisational aspects;product design;product development;reliability;risk management;strategic planning;sustainable development","asset management framework;cost estimation;decision-support tool;facilitating manufacturer;key business strategy;key research area;life cycle service level;main managerial challenges;original equipment manufacturers;pricing;product-service systems;PSSs;risk management;servitization strategy;system design;technical challenges;value chain","","4","","78","IEEE","27 Nov 2019","","","IEEE","IEEE Journals"
"Mining High-Quality Pseudoinstance Soft Labels for Weakly Supervised Object Detection in Remote Sensing Images","X. Qian; Y. Huo; G. Cheng; C. Gao; X. Yao; W. Wang","College of Electrical and Information Engineering, Zhengzhou University of Light Industry, Zhengzhou, China; College of Electrical and Information Engineering, Zhengzhou University of Light Industry, Zhengzhou, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; College of Electrical and Information Engineering, Zhengzhou University of Light Industry, Zhengzhou, China","IEEE Transactions on Geoscience and Remote Sensing","26 Apr 2023","2023","61","","1","15","Weakly supervised object detection in remote sensing images (RSI) is still a challenge because of the lack of instance-level labels, and many existing methods have two problems. First, most of the existing methods usually mine the pseudoground-truth (PGT) instances solely relying on proposal class scores (PCSs). Actually, the reliability of PCS is not enough because of the bird’s eye view imaging and large-scale chaotic background of RSIs, and the instances with high PCS incline to cover the discriminative region, rather than the whole object. Second, the existing methods assign a one-hot label to each instance, and the label of the PGT instance is copied to its neighbor instances, which induces the misclassification problem to some extent. Actually, the probability that the neighbor instances contain the object with the same category is smaller than the PGT instance. For the first problem, the proposal quality score (PQS) is proposed for mining high-quality PGT instances, which contain PCS and dual-context projection score (DCPS). The DCPS is calculated through semantic segmentation and is employed to measure the completeness that each proposal covers an object. For the second problem, a pseudosoft label assignment (PSLA) strategy is proposed to assign a more precise soft label for each instance, where the soft label is determined by the spatial distance between each instance and its nearest PGT instance. The ablation study validates the effectiveness of the PQS and PSLA. The comprehensive comparisons with other WSOD methods on three popular benchmarks show the excellent performance of our method.","1558-0644","","10.1109/TGRS.2023.3266838","National Natural Science Foundation of China(grant numbers:62076223,62071388,62136007); Key Science and Technology Program of Henan Province(grant numbers:232102211018,the Key Research); Development Program of Shaanxi Province(grant numbers:2021ZDLGY01-08); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102106","Dual-context projection score (DCPS);proposal quality score (PQS);pseudosoft label;remote sensing image (RSI);weakly supervised object detection (WSOD)","Proposals;Remote sensing;Reliability;Object detection;Training;Task analysis;Semantic segmentation","feature extraction;geophysical image processing;image classification;image segmentation;learning (artificial intelligence);object detection;probability;remote sensing;supervised learning","bird;dual-context projection score;high PCS;high-quality PGT instances;instance-level labels;mining high-quality pseudoinstance soft labels;misclassification problem;nearest PGT instance;neighbor instances;one-hot label;precise soft label;proposal class scores;proposal quality score;pseudoground-truth instances;pseudosoft label assignment strategy;remote sensing images;weakly supervised object detection;WSOD methods","","","","61","IEEE","13 Apr 2023","","","IEEE","IEEE Journals"
"Exploring Sub-Action Granularity for Weakly Supervised Temporal Action Localization","B. Wang; X. Zhang; Y. Zhao","School of Automation Engineering, Northwestern Polytechnical University, Xi’an, China; School of Automation Engineering, Northwestern Polytechnical University, Xi’an, China; School of Automation Engineering, Northwestern Polytechnical University, Xi’an, China","IEEE Transactions on Circuits and Systems for Video Technology","4 Apr 2022","2022","32","4","2186","2198","Modeling cross-video relationship is an important issue for the weakly supervised temporal action localization task. To this end, traditional methods operate at the action level and rely on complicated strategies to prepare triplet samples, which only mines the cross-video relationships among three videos from two categories. In this work, we observe that action instances from different categories could exhibit similar motion patterns, i.e. subaction, and propose to operate at the sub-action granularity to elaborately explore cross-video relationships. However, only given video-level category labels, the sub-actions are undefined and not annotated. To tackle this challenge, we represent video features via a group of sub-actions, i.e. the sub-action family. Specifically, the sub-action family contains multiple feature vectors, where each vector is in charge of representing a specific sub-action. The sub-action family is shared among all videos in the dataset, while all videos contribute to the learning of the sub-action family. Consequently, we can not only get rid of the complicated sampling strategy but also thoroughly mine cross-video relationships from all available videos in the dataset. To learn feature vectors within the sub-action family, we employ a bottom-up temporal action localization paradigm and introduce an extra top-down branch. The sub-action family is introduced into the top-down branch, and it learns feature vectors via representing raw video features. Moreover, we propose a consistency loss to guide the learning process and a diversity loss to mine distinct sub-actions. Extensive experiments are carried out on three benchmark datasets, i.e. THUMOS14, ActivityNet v1.2 and ActivityNet v1.3, and the proposed method builds new high performance.","1558-2205","","10.1109/TCSVT.2021.3089323","National Natural Science Foundation of China (NSFC)(grant numbers:61771391); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:JCYJ20170815162956949,JCYJ20180306171146740); Key Research and Development Plan of Shaanxi Province(grant numbers:2020ZDLGY07-11); Natural Science Basic Research Plan in Shaanxi Province of China(grant numbers:2018JM6056); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454500","Weakly supervised learning;temporal action localization;sub-action granularity","Location awareness;Proposals;Task analysis;Aggregates;Training;Prediction algorithms;Marine vehicles","computer vision;feature extraction;gesture recognition;image classification;image motion analysis;image recognition;learning (artificial intelligence);object detection;pattern classification;pattern clustering;video signal processing","temporal action localization paradigm;sub-action family;raw video features;mine distinct sub-actions;sub-action granularity;modeling cross-video relationship;weakly supervised temporal action localization task;action level;action instances;given video-level category labels;specific sub-action;thoroughly mine cross-video relationships","","9","","71","IEEE","14 Jun 2021","","","IEEE","IEEE Journals"
"Remote Sensing Image Change Detection Transformer Network Based on Dual-Feature Mixed Attention","X. Song; Z. Hua; J. Li","School of Information and Electronic Engineering, Institute of Network Technology, Shandong Technology and Business University, Yantai, China; School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; School of Information and Electronic Engineering, Institute of Network Technology, Shandong Technology and Business University, Yantai, China","IEEE Transactions on Geoscience and Remote Sensing","12 Oct 2022","2022","60","","1","16","Change detection (CD) of high-resolution remote sensing (RS) images is a basic task in RS image processing tasks. In recent years, CD tasks have made many attempts in pure convolutional networks, attention mechanism, and transformer, and have achieved good results. Based on the power of attention and transformers, we hope to find a method that can handle the details of the image better and has better generalization ability. In this article, we propose a dual-feature mixed attention-based transformer network (DMATNet). First, we adopt a dual-feature extraction method, using a simple convolutional neural network (CNN) to extract coarse features, and a CNN based on progressive sampling to extract fine features. Then, we fuse the fine and coarse features with dual-feature mixed attention (DFMA) module. It can not only extract more specific regions of interest, but also overcome the misjudgment caused by oversampling, and synchronize feature extraction and target information integration. Finally, we use transformer to optimize these extracted information and feedback into the original features in the encoder to help remodel the pixel space. We merged the DMAT network into a deep feature difference-based CD framework and conducted extensive experiments on four datasets, LEVIR-CD, DSIFN-CD, WHU-CD, and CLCD, respectively, with tested F1 and interconnection over union (IoU) results of 90.75%/84.13%, 71.23%/55.32%, 85.70%/74.98%, and 66.56%/59.87%. Experimental results show that our DMAT-based model performs significantly better than the existing state-of-the-art attention and transformer-based methods.","1558-0644","","10.1109/TGRS.2022.3209972","National Natural Science Foundation of China(grant numbers:61772319,62002200,62202268,12001327); Shandong Natural Science Foundation of China(grant numbers:ZR2020QF012,ZR2021MF068); Shandong Provincial Science and Technology Support Program of Youth Innovation Team in Colleges(grant numbers:2021KJ069,2019KJN042); Yantai Science and Technology Innovation Development Plan(grant numbers:2022JCYJ031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9905616","Change detection (CD);convolutional neural network (CNN);dual-feature mixed attention (DFMA);high-resolution optical remote sensing (RS) images;Siamese network;transformer","Feature extraction;Transformers;Remote sensing;Task analysis;Image segmentation;Data mining;Convolutional neural networks","","","","","","79","IEEE","28 Sep 2022","","","IEEE","IEEE Journals"
"A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services","N. Iqbal; F. Jamil; S. Ahmad; D. Kim","Computer Engineering Department, Jeju National University, Jeju City, Republic of Korea; Computer Engineering Department, Jeju National University, Jeju City, Republic of Korea; Software Engineering Department, University of Engineering & Technology Mardan, Mardan, Pakistan; Computer Engineering Department, Jeju National University, Jeju City, Republic of Korea","IEEE Access","13 Jan 2021","2021","9","","8069","8098","The recent advances in information management systems coupled with machine learning algorithms paved the way for a significant revolution in animal healthcare industries. However, the data in such systems suffer from various challenges such as security, reliability, and convenience, to name a few. Traditional systems are not useful to meet these critical issues because these systems have not a consistent structure for data security and reliability policies. Therefore, a new solution is required to enhance data accessibility and should regulate government security policies to ensure the accountability of the usage of the medical records system. Moreover, it is also required to analyze historical data of veterinary clinic using data mining and machine learning techniques to predict the future appointments scheduling requests, which is essential for veterinary management to drive better future decisions, for instance, future demands of medical supplies and to plan veterinary medical staff, etc. This paper aims to fill the gap by proposing a novel blockchain-based reliable and intelligent veterinary information management system (RIVIMS) using smart contract and machine learning techniques. The proposed RIVIMS consists of two main modules; blockchain-based secured veterinary information management, data and predictive analytics modules. First, a blockchain-based secure and reliable veterinary clinic information management system is developed using Hyperledger Fabric. Second, a smart contract enabled data, and predictive analytics modules are developed using permissioned blockchain framework. The data and predictive modules aim to analyze veterinary clinic patients appointments data in order to discover underlying patterns and build a robust prediction model using machine learning algorithms. The data and predictive helps veterinary management to drive better future business decisions to provide better healthcare services to veterinary patients. Hyperledger Caliper is used as a benchmark tool to evaluate the performance of the developed blockchain-based system in terms of transaction per second, transaction success rate, transaction throughput, and transaction latency. Furthermore, machine learning performance measures have utilized, such as MAE, RMSE, and R2 score to evaluate the overall performance of the prediction model. The experimental results demonstrate the effectiveness and robustness of the proposed RIVIMS.","2169-3536","","10.1109/ACCESS.2021.3049325","Energy Cloud R&D Program through the National Research Foundation of Korea(NRF) funded by the Ministry of Science, ICT(grant numbers:2019M3F2A1073387); Basic Science Research Program through the National Research Foundation of Korea(NRF) funded by the Ministry of Education(grant numbers:2018R1D1A1A09082919); Institute for Information & communications Technology Planning & Evaluation(IITP) grant funded by the Korea government(MSIT)(grant numbers:2018-0-01456); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314077","Information management system;blockchain technology;machine learning;smart contract;predictive analysis","Medical services;Blockchain;Reliability;Distributed databases;Predictive analytics;Smart contracts;Distributed ledger","blockchains;data mining;health care;information management;learning (artificial intelligence);medical information systems;scheduling;security of data;veterinary medicine","reliable veterinary clinic information management system;information management systems;machine learning algorithms;data security;government security policies;medical records system;data mining;veterinary management;veterinary medical staff;veterinary information management system;machine learning techniques;predictive analytics modules;veterinary clinic patients appointments data;blockchain-based system;machine learning performance measures;blockchain-based integrity;hyperledger fabric","","47","","83","CCBY","5 Jan 2021","","","IEEE","IEEE Journals"
"An Enriched RPCO-BCNN Mechanisms for Attack Detection and Classification in SCADA Systems","S. Shitharth; K. M. Prasad; K. Sangeetha; P. R. Kshirsagar; T. S. Babu; H. H. Alhelou","Department of Computer Science and Engineering, Kebri Dehar University, Kebri Dehar, Somali, Ethiopia; Department of Electronics and Telecommunication, Symbiosis Institute of Technology, Maharashtra, Pune, India; Department of Computer Science and Engineering, Kebri Dehar University, Kebri Dehar, Somali, Ethiopia; Department of Artificial Intelligence, G. H. Raisoni College of Engineering, Nagpur, India; Department of Electrical and Electronics Engineering, Chaitanya Bharathi Institute of Technology, Hyderabad, India; Department of Electrical Power Engineering, Faculty of Mechanical and Electrical Engineering, Tishreen University, Latakia, Syria","IEEE Access","30 Nov 2021","2021","9","","156297","156312","Providing security to the Supervisory Control and Data Acquisition (SCADA) systems is one of the demanding and crucial tasks in recent days, due to the different types of attacks on the network. For this purpose, there are different types of attack detection and classification methodologies have been developed in the conventional works. But it limits with the issues like high complexity in design, misclassification results, increased error rate, and reduced detection efficiency. In order to solve these issues, this paper aims to develop an advanced machine learning models for improving the SCADA security. This work comprises the stages of preprocessing, clustering, feature selection, and classification. At first, the Markov Chain Clustering (MCC) model is implemented to cluster the network data by normalizing the feature values. Then, the Rapid Probabilistic Correlated Optimization (RPCO) mechanism is employed to select the optimal features by computing the matching score and likelihood of particles. Finally, the Block Correlated Neural Network (BCNN) technique is employed to classify the predicted label, where the relevancy score is computed by using the kernel function with the feature points. During experimentation, there are different performance indicators have been used to validate the results of proposed attack detection mechanisms. Also, the obtained results are compared with the RPCO-BCNN mechanism for proving the superiority of the proposed attack detection system.","2169-3536","","10.1109/ACCESS.2021.3129053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9618916","Supervisory control and data acquisition (SCADA);Markov chain clustering (MCC);preprocessing;security;rapid probabilistic correlated optimization (RPCO);block correlated neural network (BCNN) and attack detection","SCADA systems;Feature extraction;Security;Optimization;Reliability;Protocols;Data models","data acquisition;data mining;learning (artificial intelligence);Markov processes;neural nets;pattern classification;SCADA systems","Block Correlated Neural Network technique;feature points;different performance indicators;proposed attack detection mechanisms;RPCO-BCNN mechanism;attack detection system;enriched RPCO-BCNN mechanisms;SCADA systems;providing security;Supervisory Control;Data Acquisition systems;demanding tasks;crucial tasks;classification methodologies;conventional works;misclassification results;increased error rate;detection efficiency;advanced machine learning models;SCADA security;feature selection;Markov Chain Clustering model;network data;feature values;Rapid Probabilistic Correlated Optimization mechanism;optimal features;matching score","","13","","34","CCBY","17 Nov 2021","","","IEEE","IEEE Journals"
